Strong's #	,Grk/Heb	English	SVD	Text
G0129G	αἷμα	blood	دَم	"αἷμα , ατος, τό, [في lxx لـ ded ;] دم. __1. بالمعنى العادي: مرجع: مرقس ٥:٢٥، مرجع: لوقا ٨:٤٣،٤٤ ٢٢:٤٤، مرجع: يوحنا ١٩:٣٤، مرجع: أعمال ١٥:٢٠،٢٩ ٢١:٢٥، مرجع: رؤيا .8:7,٨ ١١:​٦ 16:3,4,٦ ١٩:​١٣ . __2. في معاني خاصة: __(أ) الجيل، الأصل، القرابة (cl.): المرجع: يوحنا ١: ١٣ (انظر م م، vgt، انظر الكلمة)؛ __(ب) كما في العهد القديم (ar على أفسس، l.with)، في العبارة σάρξ καὶ αἷ. (αἷ. κ. σ.)، للإشارة إلى الطبيعة البشرية المضادة لله والأرواح المخلوقة: مرجع: متى ١٦:​١٧، مرجع: ١كو ١٥:​٥٠، مرجع: غل ١:​١٦، مرجع: أفسس 6 :12، المرجع: عب ٢:​ ١٤؛ __ (ب) أشياء في اللون تشبه الدم: المرجع: أع2: 19، 20، المرجع: رؤ6: ١٢ ١٤:​ ١٨-20. __(د) سفك الدماء، موت دموي (الفصل): المرجع: مت٢٣:٣٠،٣٥ ٢٧:٤،٦،٨،٢٤،٢٥، المرجع: لوقا ١١:٥٠،٥١ ١٣:١ ، المرجع: : أع.1:١٩ ٥:​٢٨ 18:٦ ٢٠:​٢٦ 22:20، المرجع: heb.12:4، المرجع: rev.6:١٠ ١٧:​٦ 18:٢٤ ١٩:​٢؛ ἷ. ἐκχέειν (deiss.، lae، 428؛ mm، vgt، انظر الكلمة، αἷ.)، المرجع: rom.3:15، المرجع: rev.16:6 ; __ (هـ) من دم الذبيحة كفارة : المرجع: عب ٩:​ ٧، 12، 13، 18 – 22، ٢٥ ١٠:​ ٤ 11: ٢٨ ١٣:​ ١١؛ بدم المسيح، راجع: متى ٢٦:​ ٢٨، راجع: مرقس ١٤:​ ٢٤، راجع: لوقا ٢٢:​ ٢٠، راجع: يوحنا ٦:​ ٥٣، 54، 56، راجع: أعمال ٢٠:​ ٢٨، المرجع: رو ٣:​ ٢٥ 5: 9 , المرجع: ١كو ١٠:​ ١٦ 11: 25,27 , المرجع: أفسس ١:​ ٧ 2: 13 , المرجع: كول ١:​ ٢٠ , المرجع: عب ٩:​ ١٢ ,١٤ ١٠:​١٩,٢٩ ١٢:​٢٤ 13:20 , المرجع: 1pe.1:2,19 , المرجع: 1jn.1:7 (المرجع: راجع ٥:​٦,8 ), المرجع: rev.1:5 5 :٩ ٧:​١٤ 12:11 . (كريمر، 69 ف.، 612 ف.) † (ع)"
G0129H	αἷμα	(Field of) Blood	دَم	"αἷμα , ατος, τό, [في lxx لـ ded ;] دم. __1. بالمعنى العادي: مرجع: مرقس ٥:٢٥، مرجع: لوقا ٨:٤٣،٤٤ ٢٢:٤٤، مرجع: يوحنا ١٩:٣٤، مرجع: أعمال ١٥:٢٠،٢٩ ٢١:٢٥، مرجع: رؤيا .8:7,٨ ١١:​٦ 16:3,4,٦ ١٩:​١٣ . __2. في معاني خاصة: __(أ) الجيل، الأصل، القرابة (cl.): المرجع: يوحنا ١: ١٣ (انظر م م، vgt، انظر الكلمة)؛ __(ب) كما في العهد القديم (ar على أفسس، l.with)، في العبارة σάρξ καὶ αἷ. (αἷ. κ. σ.)، للإشارة إلى الطبيعة البشرية المضادة لله والأرواح المخلوقة: مرجع: متى ١٦:​١٧، مرجع: ١كو ١٥:​٥٠، مرجع: غل ١:​١٦، مرجع: أفسس 6 :12، المرجع: عب ٢:​ ١٤؛ __ (ب) أشياء في اللون تشبه الدم: المرجع: أع2: 19، 20، المرجع: رؤ6: ١٢ ١٤:​ ١٨-20. __(د) سفك الدماء، موت دموي (الفصل): المرجع: مت٢٣:٣٠،٣٥ ٢٧:٤،٦،٨،٢٤،٢٥، المرجع: لوقا ١١:٥٠،٥١ ١٣:١ ، المرجع: : أع.1:١٩ ٥:​٢٨ 18:٦ ٢٠:​٢٦ 22:20، المرجع: heb.12:4، المرجع: rev.6:١٠ ١٧:​٦ 18:٢٤ ١٩:​٢؛ ἷ. ἐκχέειν (deiss.، lae، 428؛ mm، vgt، انظر الكلمة، αἷ.)، المرجع: rom.3:15، المرجع: rev.16:6 ; __ (هـ) من دم الذبيحة كفارة : المرجع: عب ٩:​ ٧، 12، 13، 18 – 22، ٢٥ ١٠:​ ٤ 11: ٢٨ ١٣:​ ١١؛ بدم المسيح، راجع: متى ٢٦:​ ٢٨، راجع: مرقس ١٤:​ ٢٤، راجع: لوقا ٢٢:​ ٢٠، راجع: يوحنا ٦:​ ٥٣، 54، 56، راجع: أعمال ٢٠:​ ٢٨، المرجع: رو ٣:​ ٢٥ 5: 9 , المرجع: ١كو ١٠:​ ١٦ 11: 25,27 , المرجع: أفسس ١:​ ٧ 2: 13 , المرجع: كول ١:​ ٢٠ , المرجع: عب ٩:​ ١٢ ,١٤ ١٠:​١٩,٢٩ ١٢:​٢٤ 13:20 , المرجع: 1pe.1:2,19 , المرجع: 1jn.1:7 (المرجع: راجع ٥:​٦,8 ), المرجع: rev.1:5 5 :٩ ٧:​١٤ 12:11 . (كريمر، 69 ف.، 612 ف.) † (ع)"
G0132 	Αἰνέας	Aeneas	 إِينِيَاس	" αἰνέας , -οῦ, ὁ, æneas : المرجع: أع.9:33,34 .† (ع)"
G0137 	Αἰνών	Aenon	عَيْنِ نُون	" αἰνών , ἡ, indecl. (راجع عب. عب. ả ẫ ẫẫ، عين)، عين: المرجع: يوحنا ٣:​ ٢٣. † (مثل)"
G0184 	Ἀκελδαμά	Akeldama	حَقَلْ دَمَا	" § أكلدما داما (""حقل الدم"")، وأيضاً حقل الفخاري (يقع تقليدياً جنوب وادي هنوم)، ""حقل الدم"" مت ٢٧:​ ٧-8؛ أعمال ١:​١٩"
G0184G	Ἀκελδαμά	Akeldama	حَقَلْ دَمَا	" § أكلدما داما (""حقل الدم"")، وأيضاً حقل الفخاري (يقع تقليدياً جنوب وادي هنوم)، ""حقل الدم"" مت ٢٧:​ ٧-8؛ أعمال ١:​١٩"
G0184H	Ἀκελδαμά	Akeldama	حَقَلْ دَمَا	" § أكلدما داما (""حقل الدم"")، وأيضاً حقل الفخاري (يقع تقليدياً جنوب وادي هنوم)، ""حقل الدم"" مت ٢٧:​ ٧-8؛ أعمال ١:​١٩"
G0207 	Ἀκύλας	Aquila	أَكِيلا	"ἀκύας , -ου (و -α; mm, vgt , انظر الكلمة)، ὁ (لات.)، أكويلا : المرجع: أع.18:2، ١٨ ١٨:​٢٦، المرجع: rom.16:3، المرجع: ١كو. 16:19، المرجع: ٢تي.4:19 .† (ع)"
G0222 	Ἀλεξανδρῖνος	Alexandria	إِسْكَنْدَرِيَّة	" ἀлεξανδρινός (rec. -δρῖνο؛ انظر كوهنر 3، 2، 296)، -ή، -όν، الإسكندرية: المرجع: أع.27:٦ ٢٨:​١١ .† (ع)"
G0223G	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	"ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : المرجع: مرقس ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : المرجع: أعمال ٤:​ ٦. __3. يهودي معين : المرجع : أعمال 19 : 33 . __4. نحاس : مرجع: 1تي1:20. __5. بيره. = 4 (انظر ellic. on i تي, l.with): المرجع: ٢تي.4:14. † (مثل)"
G0223H	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	"ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : المرجع: مرقس ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : المرجع: أعمال ٤:​ ٦. __3. يهودي معين : المرجع : أعمال 19 : 33 . __4. نحاس : مرجع: 1تي1:20. __5. بيره. = 4 (انظر ellic. on i تي, l.with): المرجع: ٢تي.4:14. † (مثل)"
G0223I	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	"ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : المرجع: مرقس ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : المرجع: أعمال ٤:​ ٦. __3. يهودي معين : المرجع : أعمال 19 : 33 . __4. نحاس : مرجع: 1تي1:20. __5. بيره. = 4 (انظر ellic. on i تي, l.with): المرجع: ٢تي.4:14. † (مثل)"
G0223J	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	"ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : المرجع: مرقس ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : المرجع: أعمال ٤:​ ٦. __3. يهودي معين : المرجع : أعمال 19 : 33 . __4. نحاس : مرجع: 1تي1:20. __5. بيره. = 4 (انظر ellic. on i تي, l.with): المرجع: ٢تي.4:14. † (مثل)"
G0256G	Ἀλφαῖος	Alphaeus	نَ حَلْفَى	" ἀлφαῖος (wh، ἀἀ-)، -ου، ὁ (آرام. ἀἐẫ ἀἐ)، ألفوس. __1. والد لاوي: المرجع: مرقس2: 14. __2. أبو يعقوب : مرجع: متى ١٠:​ ٣ , مرجع: مرقس ٣:​ ١٣ , مرجع: لوقا ٦:​ ١٥ , مرجع: أعمال ١:​ ١٣ .† (ع)"
G0256H	Ἀλφαῖος	Alphaeus	نَ حَلْفَى	" ἀлφαῖος (wh، ἀἀ-)، -ου، ὁ (آرام. ἀἐẫ ἀἐ)، ألفوس. __1. والد لاوي: المرجع: مرقس2: 14. __2. أبو يعقوب : مرجع: متى ١٠:​ ٣ , مرجع: مرقس ٣:​ ١٣ , مرجع: لوقا ٦:​ ١٥ , مرجع: أعمال ١:​ ١٣ .† (ع)"
G0284 	Ἀμιναδάβ	Amminadab	عَمِّينَادَاب	" ἀμιναδάβ , ὁ indecl. (عبرانيين: ᴴᴰᴼᴺᴼ)، عميناداب: المرجع: متى ١:​ ٤، المرجع: لوقا ٣:​ ٣٣ (wh om.).† (ع)"
G0291 	Ἀμπλίας	Ampliatus	أَمْبِلِيَاس	" ἀμπлιᾶτος (ت، -ίατος؛ التوصية ἀμπлιᾶς؛ انظر مم، vgt، 5.انظر)، -ου، ὁ ampliatus : المرجع: rom.1:٦ ٨:​٨ .† (ع)"
G0295 	Ἀμφίπολις	Amphipolis	أَمْفِيبُولِيس	"ἀμφίποлις , -εως, ἡ أمفيبوليس، في مقدونيا، سُميت بهذا الاسم لأن نهر ستريمون يجري حولها: المرجع: أع.17:1. † (مثل)"
G0300 	Ἀμών	Amos	آمُون	" ἀμών , ὁ indecl. (عبرانيين امات ١:​ ١٠)، آمون، ملك يهوذا: المرجع: مت ١:​ ١٠ (توصية).† (ع)"
G0301G	Ἀμώς	Amos	نِ عَامُوص	" ἀμώς ، ὁ indecl. (عبرانيين ẫmẫ، المرجع: إشعياء ١:​ ١؛ ặ ả ẫ، المرجع: عامو ١:​ ١؛ ẫ ẫ، المرجع: 4ki.21:18 وما يليها ب) __1. كما هو الحال في 2ki، lc. ب (α. ἀμμών; يشوع, ἀμμών, ""αμωσσς), آمون : المرجع: متى ١:​ ١٠. __2. عاموس : المرجع: لوقا ٣:​ ٢٥. † (ع)"
G0301H	Ἀμώς	Amos	نِ عَامُوص	" ἀμώς ، ὁ indecl. (عبرانيين ẫmẫ، المرجع: إشعياء ١:​ ١؛ ặ ả ẫ، المرجع: عامو ١:​ ١؛ ẫ ẫ، المرجع: 4ki.21:18 وما يليها ب) __1. كما هو الحال في 2ki، lc. ب (α. ἀμμών; يشوع, ἀμμών, ""αμωσσς), آمون : المرجع: متى ١:​ ١٠. __2. عاموس : المرجع: لوقا ٣:​ ٢٥. † (ع)"
G0367G	Ἀνανίας	Ananias	حَنَانِيَّا	"ἀνανίας (wh، ἁναν-)، -α، ὁ (عبرانيين: ἀνανίας)، حنانيا ; __1. أورشليم : المرجع: أعمال ٥:​ ١، ٣ ٥:​ ٥ . __2. دمشق: المرجع: أعمال ٩:​ ١٠-13، ١٧ ٢٢:​١٢ . __3. رئيس الكهنة : المرجع: أعمال ٢٣:​ ٢ 24: 1 .† (ع)"
G0367H	Ἀνανίας	Ananias	حَنَانِيَّا	"ἀνανίας (wh، ἁναν-)، -α، ὁ (عبرانيين: ἀνανίας)، حنانيا ; __1. أورشليم : المرجع: أعمال ٥:​ ١، ٣ ٥:​ ٥ . __2. دمشق: المرجع: أعمال ٩:​ ١٠-13، ١٧ ٢٢:​١٢ . __3. رئيس الكهنة : المرجع: أعمال ٢٣:​ ٢ 24: 1 .† (ع)"
G0367I	Ἀνανίας	Ananias	حَنَانِيَّا	"ἀνανίας (wh، ἁναν-)، -α، ὁ (عبرانيين: ἀνανίας)، حنانيا ; __1. أورشليم : المرجع: أعمال ٥:​ ١، ٣ ٥:​ ٥ . __2. دمشق: المرجع: أعمال ٩:​ ١٠-13، ١٧ ٢٢:​١٢ . __3. رئيس الكهنة : المرجع: أعمال ٢٣:​ ٢ 24: 1 .† (ع)"
G0406 	Ἀνδρέας	Andrew	أَنْدَرَاوُس	" ἀνδρέας , -ου, ὁ أندراوس الرسول : المرجع: متى ٤:​١٨ 10:2 , المرجع: مرقس ١:​١٦, ٢٩ ٣:​١٨ 13:3 , المرجع: لوقا ٦:​١٤ , المرجع: يوحنا. 1:41، ٤٥ ٦:​٨ 12:22، المرجع: أع.1:13 .† (ع)"
G0408 	Ἀνδρόνικος	Andronicus	أَنْدَرُونِكُوس	" ἀνδρόνικος , -ου, ὁ أندرونيكوس : المرجع: رومية ١٦:​٧. † (مثل)"
G0451 	Ἄννα	Anna	حَنَّة	" ἄννα , -ας, ἡ (عبرانيين تحديث) حنة نبية : المرجع: لوقا ٢:​ ٣٦. † (مثل)"
G0452 	Ἄννας	Annas	حَنَّان	" ἄννας , -α (flj, ἄνανος, -ου), ὁ (عبرانيين ἄνας), حنان رئيس الكهنة : مرجع: لوقا ٣:​ ٢ , مرجع: يوحنا ١٨:​ ١٣-24 , مرجع: فصل ٤:​ ٦ .† (ع)"
G0490G	Ἀντιόχεια	Antioch	أَنْطَاكِيَة	" ἀντιόχεια , -ας, ἡ أنطاكية ; __1. في سوريا : المرجع: أعمال ١١:​١٩-22، 26-٢٧ ١٣:​١ 14:٢٦ ١٥:​٢٢-23، ٣٠ ١٥:​٣٥ 18:22، المرجع: غلاطية ٢:​١١ __2. في بيسيدية : المرجع: أعمال ١٣:​ ١٤ 14: 19، 21، المرجع: ٢تي ٣:​ ١١ .† (ع)"
G0490H	Ἀντιόχεια	Antioch	أَنْطَاكِيَة	" ἀντιόχεια , -ας, ἡ أنطاكية ; __1. في سوريا : المرجع: أعمال ١١:​١٩-22، 26-٢٧ ١٣:​١ 14:٢٦ ١٥:​٢٢-23، ٣٠ ١٥:​٣٥ 18:22، المرجع: غلاطية ٢:​١١ __2. في بيسيدية : المرجع: أعمال ١٣:​ ١٤ 14: 19، 21، المرجع: ٢تي ٣:​ ١١ .† (ع)"
G0491 	Ἀντιοχεύς	Antiochian	أَنْطَاكِيًّا	"ἀντιοχεύς , -έως, ὁ مواطن أنطاكي، أنطاكي : المرجع: أع.6:5. † (مثل)"
G0493 	Ἀντίπας	Antipas	أَنْتِيبَاس	" ἀντίπας (t, ἀντείπας), -α (في بعض المخطوطات. يبدو أنه غير محدد؛ ولكن انظر m، المرجع: pro.12:1-28؛ وهو مختصر من ἀντίπατρος)، ὁ، أنتيباس : المرجع: rev .2:13. † (مثل)"
G0494 	Ἀντιπατρίς	Antipatris	أَنْتِيبَاتْرِيس	" ἀντιπατρίς , -ίδος, ἡ أنتيباتريس, رهان. يافا وقيصرية: المرجع: أعمال ٢٣: ٣١. † (مثل)"
G0559 	Ἀπελλῆς	Apelles	أَبَلِّس	" ἀπεῆς , -οῦ, حالة النصب -ῆν (مم، انظر الكلمة)، ὁ apelles : المرجع: rom.16:10. † (مثل)"
G0623 	Ἀπολλύων	Apollyon	أَبُولِّيُّون	" ἀποντος, ὁ (ptcp. of ἀπονύων الحالي)، أبوليون، أي المدمر: المرجع: rev.9:11 (راجع ἀβάδδων). (كريمر، 453؛ دي بي، ط، 125، 172.) † (ع)"
G0624 	Ἀπολλωνία	Apollonia	أَبُولُونِيَّة	" ἀπονία , -ας, ἡ أبولونيا، مدينة مقدونيا: المرجع: أع.17:1. † (مثل)"
G0625 	Ἀπολλῶς	Apollos	أَبُلُّوس	" ἀπονικώς , -ώ, ὁ (perh. contr. from ἀπονικώνιος, المرجع: أع.18:24 د) أبولوس : المرجع: أع.18:٢٤ ١٩:​١ , المرجع: ١كو.1:١٢ ٣:​٤-٦ ٣:​ ٢٢ 4:٦ ١٦:​١٢، المرجع: تيط ٣:​ ١٣ .† (ع)"
G0675 	Ἄππιος	 of Appius	أَبِّيُوس	" ἀππιος , -ου, ὁ appius ; ἀππίου φόρον، appii forum (سوق أبيوس)، بلدة في إيطاليا: المرجع: أع.28:15. † (مثل)"
G0682 	Ἀπφία	Apphia	أَبْفِيَّة	" ἀπφία , -ας, ἡ apphia : phm 2 (mm، انظر الكلمة).† (as)"
G0688 	Ἀραβία	Arabia	الْعَرَبِيَّة	" شبه الجزيرة العربية، (هيردوتوس هيستوريكوس)، شعر ἀρραβία، (ثيوقريطوس بويتا بوكوليكوس) (ml)"
G0689 	Ἀράμ	Ram	أَرَام	" ἀράμ indec. (عبرانيين: ἐẫ)، آرام: المرجع: مت ١:​ ٣-4، المرجع: لوقا ٣:​ ٣٣ (ر، نص، وه، ἀρνεί).† (ع)"
G0690 	Ἄραψ	Arabian	عَرَب	" ἄραψ , -αβος, ὁ عربي : المرجع: أع.2:11. † (مثل)"
G0698 	Ἀρεοπαγίτης	Areopagite	الأَرِيُوبَاغِيّ	" ἀρεοπαγίτης (t, -είτης), -ου, ὁ (انظر أعلاه)، قاضي محكمة أريوباغوس: المرجع: أع.17:34. † (مثل)"
G0702 	Ἀρέτας	Aretas	الْحَارِث	" ἀρέτας (wh, ἀρ.; intr. , 313), -α, ὁ, aretas، ملك عربي: المرجع: ٢كو.11:32 (deiss., bs, 183 f.، يعتقد أن التهجئة الصحيحة ἀρέθας تم تغييرها، كما يقترح شورير، ""من خلال الرغبة في جعل اسم الهيلينية اسمًا بربريًا عن طريق استيعاب ἀρετή"").† (ع)"
G0707 	Ἀριμαθαία	Arimathea	الرَّامَة	"ἁριμαθεία (wh، ἁρ.)، -ας، ἡ [في lxx: ἁριμαθάιμ، المرجع: 1ki.1:1، آل. ( раматя) ;] الرامة : مرجع: متى ٢٧:​٥٧ , مرجع: مرقس ١٥:​٤٣ , مرجع: لوقا ٢٣:​٥١ , مرجع: يوحنا ١٩:​٣٨ .† (ع)"
