G0010,αβιουδ,ابيود
G3070,λυδια,ليديا
G3082,λυστρα,ليسترا
G3091,λωτ,كثير
G3109,μακεδονια,مقدونيا
G3110,μακεδων,المقدونية
G3136,μαρθα,مارثا
G3137,μαρια,ماري
G3138,μαρκος,علامة
G3156,ματθαιος,ماثيو
G3157,ματθαν,ماثان
G3159,ματθιας,ماتياس
G3479,ναζαρηνος,ناصري
G3480,ναζωραιος,ناصري
G3532,νικολαος,نيكولاس
G3536,νινευιτης,نينيفا
G3558,νοτος,جنوب
G3828,παμφυλια,بامفيليا
G3904,παρασκευη,يوم التحضير
G3957,πασχα,عيد الفصح
G3972,παυλος,بول
G4005,πεντηκοστη,عيد العنصرة
G4011,περγη,برجا
G4194,ποντιος,بونتيوس
G4195,ποντος,بونتوس
G4251,πρισκα,بريسكا
G4252,πρισκιλλα,بريسيلا
G4462,ραββονι,رابوني
G4469,ρακα,راكا
G4504,ρουφος,روفوس
G4514,ρωμαιος,رومان
G4516,ρωμη,روما
G4520,σαββατισμος,السبت
G4523,σαδδουκαιος,صدوقي
G4527,σαλα,سالا
G4533,σαλμων,سمك السالمون
G4564,σαρρα,ساره
G4575,σεβαστος,إمبراطورية
G4605,σιδων,صيدا
G4606,σιδωνιος,صيدا
G4609,σιλας,سيلاس
G4610,σιλουανος,سيلاس / سيلفانوس
G4677,σουσαννα,سوزانا
G4734,στεφανας,ستيفاناس
G4736,στεφανος,ستيفن
G4947,συρια,سوريا
G4988,σωσθενης,سوستينيس
G5000,Ταβιθά,تابيثا
G5018,ταρσευς,طرسوس
G5085,τιβεριας,طبريا
G5095,τιμοθεος,تيموثي
G5184,τυρος,إطار العجلة
G5310,υψιστος,الأعلى
G5329,φαρες,بيريز
G5344,φηλιξ,فيليكس
G5347,φηστος,فيستوس
G5376,φιλιππος,فيليب
G5435,φρυγια,فريجيا
G5546,χριστιανος,مسيحي
G5547,χριστος,السيد المسيح
G5564,χωριον,مكان
G5611,ωραιος,جميل / في الوقت المناسب
H0001,אָב,أب
H0011,אֲבַדּוֹן,أبادون
H0022,אֲבִיאֵל,أبييل
H0027,אֲבִידָן,عبيدان
H0030,אֲבִיהוּא,ابيهو
H0032,אֲבִיחַ֫יִל,ابيهيل
H0033,אֲבִי הָעֶזְרִי,ابي عزريت
H0037,אֲבִיטָ֑ל,أبيال
H0038,אֲבִיָּם,أبيجام
H0040,אֲבִימֶ֫לֶךְ,أبيمالك
H0041,אֲבִינָדָב,أبيناداب
H0044,אֲבִיעֶ֫זֶר,أبيزر
H0048,אֲבִירָם,أبيرام
H0049,אֲבִישַׁג,أبيشج
H0050,אֲבִישׁוּעַ,أبيشوا
H0051,אֲבִישׁוּר,أبيشور
H0052,אֲבִישַׁי,أبيشاي
H0053,אֲבִישָׁלוֹם,أبشالوم
H0059,אָבֵל,هابيل
H0062,אָבֵל בֵּית־מֲעַכָה,هابيل بيت معكة
H0065,אָבֵל מְחוֹלָה,هابيل المهولا
H0072,אֶבֶן הָעֵזֶר,ابن عيزر
H0074,אֲבִינֵר,أبنير
H0087,אַבְרָם,أبرام
H0088,אֹבֹת,أبوث
H0091,אֲגָגִי,اجاجيت
H0112,אִדּוֹ,كنت سأفعل
H0121,אָדָם,آدم
H0126,אַדְמָה,أدمة
H0130,אֲדֹמִי,ادومي
H0136,אֲדֹנָי,رب
H0137,אֲדֹנִי־בֶ֫זֶק,ادوني بيزك
H0138,אֲדֹנִיָּ֫הוּ,أدونيا
H0141,אֲדֹנִירָם,أدونيرام
H0146,אַדָּר,Addar
H0151,אֲדֹרָם,أدورام
H0152,אַדְרַמֶּ֫לֶךְ,Adrammelech
H0154,אֶדְרֶ֫עִי,إدري
H0164,אֵהוּד,ايهود
H0170,אׇהֳלָה,اهولا
H0171,אׇהֳלִיאָב,أهولياب
H0172,אׇהֳלִיבָה,اهوليباه
H0187,אוּזָל,أوزال
H0189,אֱוִי,إيفي
H0198,אוּלָם,أولام
H0201,אוֹמָר,عمر
H0204,אֹן,على
H0207,אוֹנוֹ,أونو
H0208,אוֹנָם,أونام
H0209,אוֹנָן,على
H0210,אוּפָז,Uphaz
H0211,אוֹפִיר,أوفير
H0221,אוּרִי,أوري
H0222,אוּרִיאֵל,أوريل
H0223,אוּרִיָּ֫הוּ,أوريا
H0224,אוּרִים,اوريم
H0244,אׇזְנִי,أوزنيت
H0256,אַחְאָב,أهاب
H0266,אֲחוֹחִי,أهوهيتي
H0271,אָחָז,آحاز
H0274,אֲחַזְיָ֫הוּ,أخزيا
H0277,אֲחִי,آهي
H0281,אֲחִיָּ֫הוּ,اهيا
H0283,אַחְיוֹ,أهيو
H0285,אֲחִיטוּב,أهيتوب
H0288,אֲחִימֶ֫לֶךְ,Ahimelech
H0289,אֲחִימַן,Ahiman
H0290,אֲחִימַ֫עַץ,Ahimaaz
H0293,אֲחִינֹ֫עַם,Ahinoam
H0295,אֲחִיעֶ֫זֶר,Ahiezer
H0296,אֲחִיקָם,Ahikam
H0299,אֲחִירַע,أهيرا
H0302,אֲחִיתֹ֫פֶל,أخيتوفيل
H0304,אַחְלָ֑י,اهلاي
H0333,אָטֵר,أتير
H0345,אַיָּה,آية
H0347,אִיּוֹב,وظيفة
H0356,אֵלוֹן,إيلون
H0357,אַיָּלוֹן,ايجالون
H0359,אֵילוֹת,إيلوث
H0362,אֵילִם,إليم
H0368,אֵימִים,إيميم
H0378,אִישׁ־בֹ֫שֶׁת,إيش بوشث
H0384,אִיתִיאֵל,ايثيل
H0385,אִיתָמָר,إيثامار
H0387,אֵיתָן,إيثان
H0388,אֵיתָנִים,إيثانيم
H0392,אַכְזִיב,أشزيب
H0397,אָכִישׁ,أخيش
H0407,אַכְשָׁף,أششاف
H0425,אֵלָה,إيلاه
H0430,אֱלֹהִים,إله
H0438,אַלּוֹן,ألون
H0442,אָלוּשׁ,ألوش
H0445,אֶלְחָנָן,الحنان
H0446,אֱלִיאָב,إلياب
H0447,אֱלִיאֵל,إليئيل
H0448,אֳלִיאָ֫תָה,الياثاه
H0450,אֶלְיָדָע,إليادا
H0452,אֵלִיָּה,إيليا
H0454,אֶלְיְהוֹעֵינַי,إليويناي
H0458,אֱלִימֶ֫לֶךְ,أليمالك
H0460,אֶלְיָסָף,إليساف
H0463,אֱלִיעָם,إليام
H0464,אֱלִיפַז,إليفاز
H0467,אֲלִיפֶ֫לֶט,إليفليت
H0468,אֱלִיצוּר,إليسور
H0469,אֱלִיצָפָן,إليزافان
H0471,אֶלְיָקִים,الياكيم
H0477,אֱלִישָׁע,إليشا
H0500,אֶלְעָלֵא,اليلة
H0501,אֶלְעָשָׂה,إلاسة
H0508,אֶלְפַּ֫עַל,البعل
H0513,אֶלְתּוֹלַד,التلاد
H0514,אֶלְתְּקֵא,Elteke
H0516,אַל תַּשְׁחֵת,التشيث
H0526,אָמוֹן,آمون
H0550,אַמְנוֹן,أمنون
H0558,אֲמַצְיָ֫הוּ,أمصية
H0564,אִמֵּר,إمر
H0567,אֱמֹרִי,العموريون
H0568,אֲמַרְיָ֫הוּ,العامرية
H0569,אַמְרָפֶל,امرافيل
H0583,אֱנוֹשׁ,اينوش
H0609,אָסָא,ك
H0617,אַסִּיר,عسير
H0621,אָֽסְנַת,Asenath
H0623,אָסָף,آساف
H0649,אַפַּיִם,Appaim
H0663,אֲפֵק,أفيك
H0673,אֶפְרָתִי,افراتيت
H0675,אֶצְבּוֹן,ازبون
H0682,אָצֵל,أزال
H0684,אֹ֫צֶם,Ozem
H0687,אֵ֫צֶר,عيزر
H0692,אַרְאֵלִי,أريلي
H0714,אַרְדְּ,أرض
H0722,אֲרוֹדִי,ارودي
H0733,אָרַח,آرا
H0740,אֲרִיאֵל,ارييل
H0746,אֲרְיוֹךְ,أريوك
H0757,אַרְכִּי,أرشيت
H0761,אֲרַמִּי,الآرامية
H0762,אֲרָמִית,في الآرامية
H0763,אֲרַם נַהֲרַיִם,بلاد ما بين النهرين
H0769,אַרְנוֹן,أرنون
H0771,אׇרְנָן,أرنان
H0774,אַרְפַּד,أرباد
H0775,אַרְפַּכְשַׁד,Arpachshad
H0788,אַשְׁבֵּל,أشبل
H0795,אַשְׁדּוֹד,أشدود
H0796,אַשְׁדּוֹדִי,أشدودت
H0804,אַשּׁוּר,أشور
H0805,אֲשׁוּרִי,أشوريت
H0806,אַשְׁחוּר,أشهور
H0831,אַשְׁקְלוֹן,عسقلان
H0836,אָשֵׁר,أشير
H0842,אֲשֵׁרָה,عشيرة
H0844,אַשְׂרִיאֵל,أسرييل
H0850,אֶשְׁתּוֹן,أشتون
H0851,אֶשְׁתְּמוֹעַ,اشتموا
H0863,אִתַּי,إتاي
H0864,אֵתָם,إيثام
H0876,בְּאֵר,جعة
H0881,בְּאֵרוֹת,بيروث
H0883,בְּאֵר לַחַי רֹאִי,بير لهاي روي
H0884,בְּאֵר שֶׁ֫בַע,بئر السبع
H0886,בְּאֵרֹתִי,بيروثيت
H0893,בֵּבַי,بيبي
H0902,בִּגְוַי,بيجفاي
H0904,בִּגְתָן,بيغثان
H0911,בְּדַד,بيداد
H0917,בְּדָן,بيدان
H0938,בּוּז,الطنانة
H0940,בּוּזִי,بوزيت
H1007,בֵּית אָ֫וֶן,بيث أفين
H1010,בֵּית בַּ֫עַל מְעוֹן,بيت بعل ميون
H1020,בֵּית הַיְשִׁימוֹת,بيت جيشيموت
H1022,בֵּית הַלַּחְמִי,بيت لحم
H1024,בֵּית מַרְכָּבוֹת,بيت ماركابوث
H1026,בֵּית הָֽעֲרָבָה,بيت عربة
H1030,בֵּית־הַשִּׁמְשִׁי,بيت شميم
H1037,בֵּית מִלּוֹא,بيث ميلو
H1043,בֵּית־עֲנָת,بيت عناث
H1044,בֵּית־עֵ֫קֶד,بيث إيكيد
H1046,בֵּית פָּ֑לֶט,بيث بيلت
H1047,בֵּית פְּעוֹר,بيث بيور
H1049,בֵּית־צוּר,بيت زور
H1052,בֵּית שְׁאָן,بيث شين
H1053,בֵּית שֶׁ֫מֶשׁ,بيت شيمش
H1064,בְּכוֹרַת,بيكوراث
H1071,בֶּ֫כֶר,بيشر
H1083,בִּלְגָּה,بلغة
H1085,בִּלְדַּד,بيلداد
H1106,בֶּ֫לַע,بيلا
H1111,בָּלָק,بالاك
H1113,בֵּלְשַׁאצַּר,بلشاصر
H1120,בָּמוֹת,باموث
H1122,בֵּן,بن
H1130,בֶּן־הֲדַד,بن حداد
H1131,בִּנּוּי,بينوي
H1137,בָּנִי,بني
H1138,בֻּנִּי,بني
H1141,בְּנָיָ֫הוּ,بناية
H1142,בְּנֵי יַעֲקָ֑ן,بني جاكان
H1145,בֶּן־יְמִינִי,بنياميت
H1150,בִּנְעָא,بينيا
H1173,בַּעֲלָה,بعلة
H1186,בַּ֫עַל מְעוֹן,بعل ميون
H1187,בַּ֫עַל פְּעוֹר,بعل فيور
H1188,בַּ֫עַל פְּרָצִים,بعل فرازيم
H1209,בֵּצָ֑י,بيزاي
H1212,בְּצַלְאֵל,بتسلئيل
H1213,בַּצְלוּת,بازلوث
H1218,בׇּצְקַת,بوزكات
H1221,בֶּ֫צֶר,بيزر
H1231,בֻּקִּי,بوكي
H1232,בֻּקִּיָּ֫הוּ,بوكية
H1260,בֶּ֫רֶד,بريد
H1268,בֵּר֫וֹתָה,بيروثاي
H1271,בַּרְזִלַּי,برزيلاي
H1283,בְּרִיעָה,بيريا
H1294,בְּרָכָה,براكه
H1301,בָּרָק,باراك
H1328,בְּתוּאֵל,بيثويل
H1382,גִּבְלִי,جباليت
H1387,גֶּ֫בַע,جيبا
H1389,גִּבְעָה,تلة
H1393,גִּבְעֹנִי,الجبعونيت
H1403,גַּבְרִיאֵל,جبريل
H1405,גִּבְּתוֹן,جيبثون
H1412,גֻּדְגֹּ֫דָה,جودجوداه
H1425,גָּדִי,جاديت
H1435,גִּדֵּל,جيديل
H1437,גִּדַּלְתִּי,جدالتي
H1440,גִּדְעֹם,جدوم
H1446,גְּדוֹר,جيدور
H1449,גְּדֵרָה,جديرة
H1450,גְּדֵרוֹת,جيدروث
H1463,גּוֹג,يأجوج
H1471,גּוֹי,أمة
H1474,גּוֹלָן,الجولان
H1476,גּוּנִי,غوني
H1495,גָּזֵז,غازيز
H1507,גֶּ֫זֶר,جيزر
H1515,גַּ֫חַר,جهار
H1522,גֵּיחֲזִי,جهازي
H1526,גִּילֹנִי,جيلونايت
H1555,גׇּלְיַת,جالوت
H1569,גִּלְעָדִי,جلعاد
H1583,גַּמְלִיאֵל,غماليل
H1587,גְּמַרְיָ֫הוּ,جمرية
H1592,גְּנֻבַת,جينوبات
H1599,גִּנְּתוֹן,جينيثون
H1603,גַּ֫עַל,غال
H1609,גַּעְתָּם,جاتام
H1622,גִּרְגָּשִׁי,الجرجاشيت
H1642,גְּרָר,جيرار
H1647,גֵּרְשֹׁם,غيرشوم
H1648,גֵּרְשׁוֹן,غيرشون
H1649,גֵּרְשֻׁנִּי,غيرشونيت
H1650,גְּשׁוּר,جيشور
H1661,גַּת,جاث
H1662,גַּת הַחֵ֫פֶר,جت هيفير
H1663,גִּתִּי,جيتيت
H1664,גִּתָּ֑יִם,جتّيم
H1673,דֹּאֵג,دوج
H1683,דְּבוֹרָה,ديبوراه
H1688,לִדְבִר,ديبير
H1705,דָּֽבְרַת,دابيرات
H1719,רֹדָן,رودان
H1732,דָּוִד,ديفيد
H1746,דּוּמָה,دومة
H1787,דִּישֹׁן,طبق على
H1838,דִּנְהָ֑בָה,الدهبة
H1850,דׇּפְקָה,دوفكاه
H1886,דֹּתָן,دوثان
H1905,הַגְרִי,الهاجريت
H1913,הֲדוֹרָם,هادورام
H1928,הֲדַרְעֶ֫זֶר,حضريزر
H1938,הוֹדַוְיָה,هودافيا
H1956,הוֹתִיר,هوثير
H1968,הֵימָן,هو رجل
H2023,הֹר,حور
H2039,הָרָן,حاران
H2047,הֲתָךְ,هاثاش
H2062,זְאֵב,زيب
H2066,זָבָד,زبد
H2068,זַבְדִּיאֵל,زابديل
H2075,זְבוּלֹנִי,الزبولونيت
H2079,זַבַּי,الزباي
H2182,זָנוֹחַ,زانوه
H2227,זַרְחִי,الزارهيون
H2238,זֶ֫רֶשׁ,زريش
H2240,זַתּוּא,زاتو
H2241,זֵתָם,زيتام
H2246,חֹבָב,حباب
H2252,חֲבַיָה,حبايه
H2268,חֶ֫בֶר,هيبر
H2275,חֶבְרוֹן,الخليل
H2276,חֶבְרוֹנִי,الخليل
H2286,חֲגָבָה,الهغابة
H2291,חַגִּי,حاجي
H2295,חׇגְלָה,هجلة
H2301,חֲדַד,حداد
H2307,חָדִיד,حديد
H2313,חִדֶּ֫קֶל,نهري دجلة
H2334,חַוּוֹת יָעִיר,هافوث جاير
H2340,חִוִּי,هيفيت
H2341,חֲוִילָה,حويلة
H2354,חוּר,حقاً
H2366,חֻשִׁים,هوشيم
H2369,חוֹתָם,هوثام
H2387,חֵזִיר,حزير
H2407,חַטּוּשׁ,حتوش
H2458,חֶלְאָה,هيلاه
H2469,חֶלְדַּי,هيلداي
H2477,חֲלַח,هاله
H2503,חֶ֫לֶץ,هيليز
H2507,חֵ֫לֶק,هيليك
H2518,חִלְקִיָּהוּ,حلقية
H2520,חֶלְקָת֙,هيلكاث
H2526,חָם,لحم خنزير
H2537,חֲמוּטַל,هاموتال
H2538,חָמוּל,هامول
H2540,חַמּוֹן,هامون
H2575,חַמַּת,حماة
H2577,חֲמָתִי,الحماثيون
H2584,חַנָּה,هانا
H2585,חֲנוֹךְ,اينوك
H2586,חָנוּן,حنون
H2592,חַנִּיאֵל,حنييل
H2601,חֲנַמְאֵל,هانامل
H2605,חָנָן,حنان
H2621,חֹסָה,هوساه
H2650,חֻפִּים,هوبيم
H2657,חֶפְצִי־בָהּ,حفزي باه
H2695,חֶצְרוֹ,هيزرو
H2698,חֲצֵרוֹת,هازروث
H2704,חֲצַר עֵינוֹן,هزار عنان
H2705,חֲצַר שׁוּעָל,هزار شوال
H2712,חֻקֹֿק,هوكوك
H2726,חַרְבוֹנָא,هاربونا
H2732,חֲרָדָה,حرادة
H2735,חֹר הַגִּדְגָּד,حور هجيدجاد
H2752,חֹרִי,هوريت
H2753,חֹרִי,هوري
H2766,חָרִם,حريم
H2772,חֹרֹנִי,الهورونيت
H2811,חֲשַׁבְיָ֫הוּ,حشبية
H2813,חֲשַׁבְנְיָה,حشبنية
H2832,חַשְׁמֹנָה,حشمونه
H2843,חֻשָׁתִי,هوشتيت
H2845,חֵת,هيث
H2850,חִתִּי,حثى
H2870,טָֽבְאֵל,طبيل
H2897,טוֹב,توب
H2928,טֶ֫לֶם,Telem
H2929,טַלְמוֹן,تلمون
H2970,יַאֲזַנְיָ֫הוּ,يازانيا
H2971,יָאִיר,جاير
H2983,יְבוּסִי,اليبوسيت
H2985,יָבִין,جبين
H2991,יִבְלְעָם,إبليم
H2995,יַבְנְאֵל,جبنيل
H2999,יַבֹּק,جابوك
H3008,יִגְאָל,إيغال
H3035,יִדּוֹ,كنت سأفعل
H3037,יַדּוּעַ,جدوع
H3038,יְדוּתוּן,جيدوثون
H3043,יְדִיעֲאֵל,جيديال
H3047,יָדָע,جادا
H3048,יְדַעְיָה,الجديعة
H3050,יָהּ,YH--
H3058,יֵהוּא,جيهو
H3059,יְהוֹאָחָז,يهوآحاز
H3061,יְהוּד,يهودا
H3062,יְהוּדַי,اليهودي
H3065,יְהוּדִי,جيهودي
H3066,יְהוּדִית,يهودي
H3068,יְהֹוָה,YHWH | الرب
H3069,יְהֹוִה,يهوه | الله
H3076,יְהוֹחָנָן,يهوحنان
H3077,יְהוֹיָדָע,يهويادا
H3080,יְהוֹיָרִיב,يهوياريب
H3083,יְהוֹנָתָן,جوناثان
H3085,יְהוֹעַדָּה,يهوادة
H3087,יְהוֹצָדָק,يهوزادك
H3090,יְהוֹשַׁבְעַת,يهوشابيث
H3091,יְהוֹשׁוּעַ,جوشوا
H3096,יַ֫הַץ,جاهز
H3097,יוֹאָב,يوآب
H3098,יוֹאָח,جواه
H3099,יוֹאָחָז,جوهاز
H3100,יוֹאֵל,جويل
H3103,יוֹבָב,جوباب
H3107,יוֹזָבָד,جوز اباد
H3109,יוֹחָא,جحا
H3110,יוֹחָנָן,جوهانان
H3111,יוֹיָדָע,جويادا
H3113,יוֹיָקִים,Joiakim
H3114,יוֹיָרִיב,جوياريب
H3115,יוֹכֶ֫בֶד,جوتشابد
H3120,יָוָן,جافان
H3122,יוֹנָדָב,جوناداب
H3124,יוֹנָה,يونس
H3129,יוֹנָתָן,جوناثان
H3130,יוֹסֵף,جوزيف
H3135,יוֹעָשׁ,يواش
H3136,יוֹצָדָק,جوزاداك
H3141,יוֹרָם,جورام
H3146,יוֹשָׁפָט,جوشافاط
H3147,יוֹתָם,جوثام
H3156,יִזְרַחְיָה,إزراحيه
H3158,יִזְרְעֵאלִי,يزرعيليت
H3166,יַחֲזִיאֵל,جهزيل
H3168,יְחֶזְקֵאל,حزقيل
H3169,יְחִזְקִיָּה,حزقيا
H3171,יְחִיאֵל,جهيل
H3177,יַחְלְאֵל,الجليل
H3183,יַחְצְאֵל,جهزيل
H3189,יַ֫חַת,جهات
H3193,יׇטְבָ֫תָה,جوتباتة
H3194,יֻטָּה,جوتة
H3195,יְטוּר,جيتور
H3199,יָכִין,جاتشين
H3226,יָמִין,جامين
H3228,יָֽמִינִי,جامينيت
H3239,יָנ֫וֹחָה,جنوح
H3258,יַעְבֵּץ,يعبيز
H3266,יְעוּשׁ,جوش
H3269,יַעֲזִיָּ֫הוּ,يازيا
H3270,יַעְזֵר,جازر
H3273,יְעִיאֵל,جييل
H3279,יַעֲלָא,جالا
H3281,יַעְלָם,جلام
H3293,יַ֫עַר,خلية النحل
H3294,יַעְרָה,جراح
H3300,יַעֲשִׂיאֵל,جاسيئيل
H3305,יָפוֹ,جوبا
H3309,יָפִיעַ,جافيا
H3312,יְפֻנֶּה,جفنة
H3324,יִצְהָר,ازهار
H3325,יִצְהָרִי,ازهاريت
H3337,יֵ֫צֶר,جيزر
H3356,יָקִים,JAKIM
H3359,יְקַמְיָה,جقميا
H3361,יׇקְמְעָם,جوكميم
H3362,יׇקְנְעָם,جوكنعام
H3370,יׇקְשָׁן,جوكشان
H3371,יׇקְתְאֵל,جوكتيل
H3382,יֶ֫רֶד,جاريد
H3383,יַרְדֵּן,الأردن
H3390,יְרוּשְׁלֵם,بيت المقدس
H3395,יְרֹחָם,جيروهام
H3396,יְרַחְמְאֵל,الجرحميل
H3397,יְרַחְמְאֵלִי,الجرحميليت
H3398,יַרְחָע,جارها
H3402,יָרִיב,جريب
H3405,יְרִיחוֹ,أريحا
H3434,יָשׇׁבְעָם,جاشوبيم
H3436,יׇשְׁבְּקָ֫שָׁה,جوشبكاشاه
H3437,יָשׁוּב,جاشوب
H3440,יִשְׁוִי,إشفي
H3446,יִשְׂחָק,إسحاق
H3448,יִשַׁי,جيسي
H3449,יִשִּׁיָּהוּ,إيشيا
H3458,יִשְׁמָעֵאל,إسماعيل
H3460,יִשְׁמַעְיָ֫הוּ,إشماعية
H3466,יְשָׁנָה,الجشنة
H3469,יִשְׁעִי,إيشي
H3478,יִשְׂרָאֵל,إسرائيل
H3479,יִשְׂרָאֵל,إسرائيل
H3481,יִשְׂרְאֵלִי,إسرائيلي
H3484,יְשֻׁרוּן,جيشورون
H3492,יַתִּיר,جتير
H3500,יֶ֫תֶר,جيثر
H3503,יִתְרוֹ,جيثرو
H3505,יִתְרִי,إيثريت
H3507,יִתְרְעָם,إيثريم
H3540,כְּדׇרְלָעֹמֶר,تشدرلعومير
H3562,כּוֹנַנְיָ֫הוּ,كونانيا
H3566,כּ֫וֹרֶשׁ,سايروس
H3567,כּ֫וֹרֶשׁ,سايروس
H3568,כּוּשׁ,كوش. أثيوبيا
H3569,כּוּשִׁי,كوشيت
H3571,כּוּשִׁית,كوشيتيس
H3573,כּוּשַׁן רִשְׁעָתַ֫יִם,كوشان ريشاتايم
H3575,כּוּתָה,كاثه
H3579,כָּזְבִי,كوزبي
H3594,כִּיּוּן,كييون
H3620,כְּלוּב,شيلوب
H3630,כִּלְיוֹן,شيليون
H3633,כַּלְכֹּל,كالكول
H3641,כַּלְנֶה,كالنو
H3643,כִּמְהָם,شيمهام
H3644,כְּמוֹ,يحب
H3663,כְּנַנְיָ֫הוּ,شننيا
H3667,כְּנַ֫עַן,تاجر
H3668,כְּנַעֲנָה,شنانة
H3669,כְּנַעֲנִי,تاجر
H3672,כִּנֶּ֫רֶת,تشينريث
H3691,כִּסְלֵו,تشيسلو
H3703,כָּסִפְיָא,Casiphia
H3716,כְּפִירָה,شفيرة
H3732,כַּפְתֹּרִי,الكفتوريت
H3746,כָּרִי,كاريت
H3751,כַּרְכְּמִישׁ,كركميش
H3756,כַּרְמִי,كارمي
H3761,כַּרְמְלִי,كرمليتي
H3774,כְּרֵתִי,تشيريثايت
H3778,כַּשְׂדִּים,الكلدانية
H3779,כַּשְׂדַּי,كلداني
H3810,לֹא דְבָר,لو ديبار
H3812,לֵאָה,ليا
H3837,לָבָן,لبن
H3850,לֹד,اللد
H3864,לוּב,ليبي
H3865,לוּד,لود
H3872,לוּחִית,لوهيث
H3873,הַלּוֹחֵשׁ,هلوهيش
H3876,לוֹט,كثير
H3877,לוֹטָן,لوتان
H3878,לֵוִי,ليفي
H3879,לֵוָי,اللاويين
H3882,לִוְיָתָן,ليفياثان
H3896,לֶחִי,ليحي
H3923,לָכִישׁ,لاكيش
H3927,לְמוּאֵל,ليمويل
H3936,לַעְדָּן,لادان
H4023,מְגִדּוֹ,مجيدو
H4024,מִגְדּוֹל,ميغدول
H4029,מִגְדַּל־עֵ֫דֶר,مجدال ادار
H4051,מִגְרוֹן,ميغرون
H4060,מִדָּה,تحية
H4074,מָדַי,وسائط
H4076,מָדַי,وسائط
H4080,מִדְיָן,مدين
H4084,מִדְיָנִי,ميديانيت
H4105,מְהֵיטַבְאֵל,مهيتابل
H4121,מַהֲרַי,مهاري
H4122,מַהֵר שָׁלָל חָשׁ בַּז,ماهر شلال هاش باز
H4124,מוֹאָב,موآب
H4125,מוֹאָבִי,موبيتيس
H4137,מוֹלָדָה,مولادة
H4149,מוֹסֵרָה,موسيروث
H4158,מֵיפַ֫עַת,ميفات
H4162,מוֹצָא,موزة
H4183,מוֹרַשְׁתִּי,Moreshethite
H4199,מִזָּה,المزة
