Strong's #	,Grk/Heb	English	SVD	Text
G0076 	Ἀδάμ	Adam	آدَم	Ἀδάμ، ὁ  (بالعبرية Ảẫ ẫ)، آدم: رؤ: لو ٣:​٣٨، رؤ: رو ٥:​١٤، رؤ: ١كو ١٥:​٢٢، 45، رؤ: ١تي ٢:​١٣، 14 رؤ: يو 14. المسيح ἔσχατος Ἀ.، راجع: ١كو ١٥:​٤٥.
G0078 	Ἀδδί	Addi	أَدِّي	Ἀδδεί (Rec. Ἀδδί)، ὁ، Addei : راجع: لو ٣:​٢٨.
G0086 	ᾍδης	hell: Hades	الْهَاوِيَة	ᾅδης , -ου, ὁ [في الترجمة السبعينية ehiefly لـ Разан, أيضًا لـ Тада, повет, الخ. ;] __1. في هوم، هاديس (بلوتو)، إله العالم السفلي. __2. مسكن الجحيم، العالم السفلي؛ في العهد الجديد، مسكن الأرواح الراحلة، الهاوية: ἐν τ. هـ، راجع: لو ١٦:​٢٣؛ εἰς ᾅ., راجع: أع ٢:​٢٧,31 ; πύлαι ᾅδου, راجع: مت ١٦:​١٨; κлεῖς τοῦ ᾅ.، راجع: رؤ ١:​١٨؛ مجازيًا، ἕως ᾅ.، راجع: مت ١١:​٢٣، راجع: لو ١٠:​١٥؛ مُجسَّد، راجع: رؤ ٦:​٨ ٢٠: ١٣، ١٤ (كريمر، ٦٧، ٦١٠؛ مم، VGT، انظر الكلمة).
G0098 	Ἀδραμυττηνός	Adramyttium	أَدْرَامِيتِينِيَّة	Ἁδραμυντηνός (T، Rec. Ἀδραμυττηνός)، -ή،-όν، من Adramyttium، ميناء ميسيا البحري: راجع: أع ٢٧:​٢.
G0099 	Ἀδρίας	Adriatic Sea	حْرِ أَدْرِيَا	Ἁδρίας (T، Rec. Ἀδρίας)، -ου، ὁ، البحر الأدرياتيكي، في الاستخدام اليوناني اللاحق امتد ليشمل جميع المياه بين اليونان وإيطاليا: راجع: أع ٢٧:​٢٧.
G0107 	Ἀζώρ	Azor	عَازُور	Ἀζώρ , ὁ, , Azor : راجع: مت ١:​١٣,14 .
G0108 	Ἄζωτος	Azotus	أَشْدُود	Ἄζωτος , -ου, ἡ (بالعبرية, ἡ, ἡ, Ἄẫ ἡẫ ἡ)، آزوتوس، مدينة فلسطينية: راجع: أع ٨:​٤٠.
G0116 	Ἀθῆναι	Athens	أَثِينَا	Ἀθῆναι , -ῶν, αἱ (الجمع لأنه يتكون من عدة أجزاء)، أثينا: راجع: أع ١٧:​١٥,16 18:1 , راجع: ١تس ٣:​١ .
G0117 	Ἀθηναῖος	Athenian	الأَثِينِوِيُّون	الأثينية، من أو من أثينا، (الإلياذة من هوميروس)، الخ (ML)
G0125 	Αἴγυπτος	Egypt	مِصْر	Αἴγυπτος , ου, ἡ, مصر : راجع: مت ٢:​١٣-15,19 , راجع: أع ٢:​١٠ 7: 9-39, راجع: عب ٣:​١٦ 11: 26,27 ; γῆ Αἴ.، راجع: أع ٧:​٤٠ ١٣: ١٧، راجع: عب ٨:​٩، راجع: يو ٥ (راجع راجع: خر ٥:​١٢، آل)؛ ἡ Αἴ.، راجع: أع ٧:​١١؛ مجازيًا، أن أورشليم معادية لله، راجع: رؤ ١١:​٨.
G0129G	αἷμα	blood	دَم	αἷμα , ατος, τό, [في الترجمة السبعينية لـ ded ;] دم. __1. بالمعنى العادي: راجع: مر ٥:​٢٥، راجع: لو ٨:​٤٣،٤٤ ٢٢:٤٤، راجع: يو ١٩:​٣٤، راجع: أع ١٥:​٢٠،٢٩ ٢١:٢٥، راجع: رؤيا .8:7,8 11:6 16:3,4,6 19:13 . __2. في معاني خاصة: __(أ) الجيل، الأصل، القرابة (cl.): راجع: يو ١:​١٣ (انظر م م، VGT، انظر الكلمة)؛ __(ب) كما في العهد القديم (AR على أفسس، l.with)، في العبارة σάρξ καὶ αἷ. (αἷ. κ. σ.)، للإشارة إلى الطبيعة البشرية المضادة لله والأرواح المخلوقة: راجع: مت ١٦:​١٧، راجع: ١كو ١٥:​٥٠، راجع: غل ١:​١٦، راجع: أف ٦:​١٢، راجع: عب ٢:​١٤؛ __ (ب) أشياء في اللون تشبه الدم: راجع: أع ٢:​١٩، 20، راجع: رؤ ٦:​١٢ 14: 18-20. __(د) سفك الدماء، موت دموي (الفصل): راجع: مت ٢٣:​٣٠،٣٥ ٢٧:٤،٦،٨،٢٤،٢٥، راجع: لو ١١:​٥٠،٥١ ١٣:١ ، راجع: : أع ١:​١٩ ٥:​٢٨ ١٨:​٦ ٢٠:​٢٦ ٢٢:​٢٠، راجع: عب ١٢:​٤، راجع: رؤ ٦:​١٠ ١٧:​٦ ١٨:​٢٤ ١٩:​٢؛ ἷ. ἐκχέειν (Deiss.، LAE، 428؛ MM، VGT، انظر الكلمة، αἷ.)، راجع: رو ٣:​١٥، راجع: رؤ ١٦:​٦ ; __ (هـ) من دم الذبيحة كفارة : راجع: عب ٩:​٧، 12، 13، 18 – 22، 25 10: 4 11: 28 13: 11؛ بدم المسيح، راجع: مت ٢٦:​٢٨، راجع: مر ١٤:​٢٤، راجع: لو ٢٢:​٢٠، راجع: يو ٦:​٥٣، 54، 56، راجع: أع ٢٠:​٢٨، راجع: رو ٣:​٢٥ 5: 9 , راجع: ١كو ١٠:​١٦ 11: 25,27 , راجع: أف ١:​٧ 2: 13 , راجع: كو ١:​٢٠ , راجع: عب ٩:​١٢ ,14 10:19,29 12:24 13:20 , راجع: ١بط ١:​٢,19 , راجع: ١يو ١:​٧ (راجع: راجع 5:6,8 ), راجع: رؤ ١:​٥ 5 :9 7:14 12:11 . (كريمر، 69 ف.، 612 ف.)
G0129H	αἷμα	(Field of) Blood	دَم	αἷμα , ατος, τό, [في الترجمة السبعينية لـ ded ;] دم. __1. بالمعنى العادي: راجع: مر ٥:​٢٥، راجع: لو ٨:​٤٣،٤٤ ٢٢:٤٤، راجع: يو ١٩:​٣٤، راجع: أع ١٥:​٢٠،٢٩ ٢١:٢٥، راجع: رؤيا .8:7,8 11:6 16:3,4,6 19:13 . __2. في معاني خاصة: __(أ) الجيل، الأصل، القرابة (cl.): راجع: يو ١:​١٣ (انظر م م، VGT، انظر الكلمة)؛ __(ب) كما في العهد القديم (AR على أفسس، l.with)، في العبارة σάρξ καὶ αἷ. (αἷ. κ. σ.)، للإشارة إلى الطبيعة البشرية المضادة لله والأرواح المخلوقة: راجع: مت ١٦:​١٧، راجع: ١كو ١٥:​٥٠، راجع: غل ١:​١٦، راجع: أف ٦:​١٢، راجع: عب ٢:​١٤؛ __ (ب) أشياء في اللون تشبه الدم: راجع: أع ٢:​١٩، 20، راجع: رؤ ٦:​١٢ 14: 18-20. __(د) سفك الدماء، موت دموي (الفصل): راجع: مت ٢٣:​٣٠،٣٥ ٢٧:٤،٦،٨،٢٤،٢٥، راجع: لو ١١:​٥٠،٥١ ١٣:١ ، راجع: : أع ١:​١٩ ٥:​٢٨ ١٨:​٦ ٢٠:​٢٦ ٢٢:​٢٠، راجع: عب ١٢:​٤، راجع: رؤ ٦:​١٠ ١٧:​٦ ١٨:​٢٤ ١٩:​٢؛ ἷ. ἐκχέειν (Deiss.، LAE، 428؛ MM، VGT، انظر الكلمة، αἷ.)، راجع: رو ٣:​١٥، راجع: رؤ ١٦:​٦ ; __ (هـ) من دم الذبيحة كفارة : راجع: عب ٩:​٧، 12، 13، 18 – 22، 25 10: 4 11: 28 13: 11؛ بدم المسيح، راجع: مت ٢٦:​٢٨، راجع: مر ١٤:​٢٤، راجع: لو ٢٢:​٢٠، راجع: يو ٦:​٥٣، 54، 56، راجع: أع ٢٠:​٢٨، راجع: رو ٣:​٢٥ 5: 9 , راجع: ١كو ١٠:​١٦ 11: 25,27 , راجع: أف ١:​٧ 2: 13 , راجع: كو ١:​٢٠ , راجع: عب ٩:​١٢ ,14 10:19,29 12:24 13:20 , راجع: ١بط ١:​٢,19 , راجع: ١يو ١:​٧ (راجع: راجع 5:6,8 ), راجع: رؤ ١:​٥ 5 :9 7:14 12:11 . (كريمر، 69 ف.، 612 ف.)
G0132 	Αἰνέας	Aeneas	 إِينِيَاس	Αἰνέας , -οῦ, ὁ, Æneas : راجع: أع ٩:​٣٣,34 .
G0137 	Αἰνών	Aenon	عَيْنِ نُون	Αἰνών , ἡ,  (راجع عب. عب. Ả ẫ ẫẫ، عين)، عين: راجع: يو ٣:​٢٣.
G0184 	Ἀκελδαμά	Akeldama	حَقَلْ دَمَا	§ أكلدما داما (حقل الدم)، وأيضاً حقل الفخاري (يقع تقليدياً جنوب وادي هنوم)، حقل الدممت 27: 7-8؛ أع ١:​١٩
G0184G	Ἀκελδαμά	Akeldama	حَقَلْ دَمَا	§ أكلدما داما (حقل الدم)، وأيضاً حقل الفخاري (يقع تقليدياً جنوب وادي هنوم)، حقل الدممت 27: 7-8؛ أع ١:​١٩
G0184H	Ἀκελδαμά	Akeldama	حَقَلْ دَمَا	§ أكلدما داما (حقل الدم)، وأيضاً حقل الفخاري (يقع تقليدياً جنوب وادي هنوم)، حقل الدممت 27: 7-8؛ أع ١:​١٩
G0207 	Ἀκύλας	Aquila	أَكِيلا	Ἀκύας , -ου (و -α; MM, VGT , انظر الكلمة)، ὁ (لات.)، أكويلا : راجع: أع ١٨:​٢، 18 18:26، راجع: رو ١٦:​٣، راجع: ١كو ١٦:​١٩، راجع: ٢تي ٤:​١٩ .
G0222 	Ἀλεξανδρῖνος	Alexandria	إِسْكَنْدَرِيَّة	Ἀлεξανδρινός (Rec. -δρῖνο؛ انظر كوهنر 3، 2، 296)، -ή، -όν، الإسكندرية: راجع: أع ٢٧:​٦ ٢٨:​١١ .
G0223G	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	Ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : راجع: مر ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : راجع: أع ٤:​٦. __3. يهودي معين : راجع : أع ١٩:​٣٣ . __4. نحاس : راجع: ١تي ١:​٢٠. __5. بيره. = 4 (انظر Ellic. on I Ti, l.with): راجع: ٢تي ٤:​١٤.
G0223H	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	Ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : راجع: مر ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : راجع: أع ٤:​٦. __3. يهودي معين : راجع : أع ١٩:​٣٣ . __4. نحاس : راجع: ١تي ١:​٢٠. __5. بيره. = 4 (انظر Ellic. on I Ti, l.with): راجع: ٢تي ٤:​١٤.
G0223I	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	Ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : راجع: مر ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : راجع: أع ٤:​٦. __3. يهودي معين : راجع : أع ١٩:​٣٣ . __4. نحاس : راجع: ١تي ١:​٢٠. __5. بيره. = 4 (انظر Ellic. on I Ti, l.with): راجع: ٢تي ٤:​١٤.
G0223J	Ἀλέξανδρος	Alexander	إِسْكَنْدَر	Ἀлέξανδρος , -ου, ὁ, ألكسندر __1. ابن سمعان القيرواني : راجع: مر ١٥:​٢١ __2. أحد أقرباء رئيس الكهنة : راجع: أع ٤:​٦. __3. يهودي معين : راجع : أع ١٩:​٣٣ . __4. نحاس : راجع: ١تي ١:​٢٠. __5. بيره. = 4 (انظر Ellic. on I Ti, l.with): راجع: ٢تي ٤:​١٤.
G0256G	Ἀλφαῖος	Alphaeus	نَ حَلْفَى	Ἀлφαῖος (WH، ἈἈ-)، -ου، ὁ (آرام. Ἀἐẫ Ἀἐ)، ألفوس. __1. والد لاوي: راجع: مر ٢:​١٤. __2. أبو يعقوب : راجع: مت ١٠:​٣ , راجع: مر ٣:​١٣ , راجع: لو ٦:​١٥ , راجع: أع ١:​١٣ .
G0256H	Ἀλφαῖος	Alphaeus	نَ حَلْفَى	Ἀлφαῖος (WH، ἈἈ-)، -ου، ὁ (آرام. Ἀἐẫ Ἀἐ)، ألفوس. __1. والد لاوي: راجع: مر ٢:​١٤. __2. أبو يعقوب : راجع: مت ١٠:​٣ , راجع: مر ٣:​١٣ , راجع: لو ٦:​١٥ , راجع: أع ١:​١٣ .
G0284 	Ἀμιναδάβ	Amminadab	عَمِّينَادَاب	Ἀμιναδάβ , ὁ  (بالعبرية: ᴴᴰᴼᴺᴼ)، عميناداب: راجع: مت ١:​٤، راجع: لو ٣:​٣٣ (WH om.).
G0291 	Ἀμπλίας	Ampliatus	أَمْبِلِيَاس	Ἀμπлιᾶτος (ت، -ίατος؛ التوصية Ἀμπлιᾶς؛ انظر مم، VGT، 5.انظر)، -ου، ὁ Ampliatus : راجع: رو ١:​٦ ٨:​٨ .
G0295 	Ἀμφίπολις	Amphipolis	أَمْفِيبُولِيس	Ἀμφίποлις , -εως, ἡ أمفيبوليس، في مقدونيا، سُميت بهذا الاسم لأن نهر ستريمون يجري حولها: راجع: أع ١٧:​١.
G0300 	Ἀμών	Amos	آمُون	Ἀμών , ὁ  (بالعبرية امات 1: 10)، آمون، ملك يهوذا: راجع: مت ١:​١٠ (توصية).
G0301G	Ἀμώς	Amos	عَامُوص	Ἀμώς ، ὁ  (بالعبرية ẫmẫ، راجع: إش ١:​١؛ ặ Ả ẫ، راجع: عا ١:​١؛ ẫ ẫ، راجع: ٢مل ٢١:​١٨ وما يليها ب) __1. كما هو الحال في 2Ki، Lc. ب (Α. Ἀμμών; يشوع, Ἀμμών, Αμωσσς), آمون : راجع: مت ١:​١٠. __2. عاموس : راجع: لو ٣:​٢٥.
G0301H	Ἀμώς	Amos	عَامُوص	Ἀμώς ، ὁ  (بالعبرية ẫmẫ، راجع: إش ١:​١؛ ặ Ả ẫ، راجع: عا ١:​١؛ ẫ ẫ، راجع: ٢مل ٢١:​١٨ وما يليها ب) __1. كما هو الحال في 2Ki، Lc. ب (Α. Ἀμμών; يشوع, Ἀμμών, Αμωσσς), آمون : راجع: مت ١:​١٠. __2. عاموس : راجع: لو ٣:​٢٥.
G0367G	Ἀνανίας	Ananias	حَنَانِيَّا	Ἀνανίας (WH، Ἁναν-)، -α، ὁ (بالعبرية: Ἀνανίας)، حنانيا ; __1. أورشليم : راجع: أع ٥:​١، 3 5: 5 . __2. دمشق: راجع: أع ٩:​١٠-13، 17 22:12 . __3. رئيس الكهنة : راجع: أع ٢٣:​٢ 24: 1 .
G0367H	Ἀνανίας	Ananias	حَنَانِيَّا	Ἀνανίας (WH، Ἁναν-)، -α، ὁ (بالعبرية: Ἀνανίας)، حنانيا ; __1. أورشليم : راجع: أع ٥:​١، 3 5: 5 . __2. دمشق: راجع: أع ٩:​١٠-13، 17 22:12 . __3. رئيس الكهنة : راجع: أع ٢٣:​٢ 24: 1 .
G0367I	Ἀνανίας	Ananias	حَنَانِيَّا	Ἀνανίας (WH، Ἁναν-)، -α، ὁ (بالعبرية: Ἀνανίας)، حنانيا ; __1. أورشليم : راجع: أع ٥:​١، 3 5: 5 . __2. دمشق: راجع: أع ٩:​١٠-13، 17 22:12 . __3. رئيس الكهنة : راجع: أع ٢٣:​٢ 24: 1 .
G0406 	Ἀνδρέας	Andrew	أَنْدَرَاوُس	Ἀνδρέας , -ου, ὁ أندراوس الرسول : راجع: مت ٤:​١٨ ١٠:​٢ , راجع: مر ١:​١٦, 29 3:18 13:3 , راجع: لو ٦:​١٤ , راجع: يو ١:​٤١، 45 6:8 12:22، راجع: أع ١:​١٣ .
G0408 	Ἀνδρόνικος	Andronicus	أَنْدَرُونِكُوس	Ἀνδρόνικος , -ου, ὁ أندرونيكوس : راجع: رو ١٦:​٧.
G0451 	Ἄννα	Anna	حَنَّة	Ἄννα , -ας, ἡ (بالعبرية تحديث) حنة نبية : راجع: لو ٢:​٣٦.
G0452 	Ἄννας	Annas	حَنَّان	Ἄννας , -α (FlJ, Ἄνανος, -ου), ὁ (بالعبرية Ἄνας), حنان رئيس الكهنة : راجع: لو ٣:​٢ , راجع: يو ١٨:​١٣-24 , راجع: أع ٤:​٦ .
G0490G	Ἀντιόχεια	Antioch	أَنْطَاكِيَة	Ἀντιόχεια , -ας, ἡ أنطاكية ; __1. في سوريا : راجع: أع ١١:​١٩-22، 26-27 13:1 14:26 15:22-23، 30 15:35 18:22، راجع: غل ٢:​١١ __2. في بيسيدية : راجع: أع ١٣:​١٤ 14: 19، 21، راجع: ٢تي ٣:​١١ .
G0490H	Ἀντιόχεια	Antioch	أَنْطَاكِيَة	Ἀντιόχεια , -ας, ἡ أنطاكية ; __1. في سوريا : راجع: أع ١١:​١٩-22، 26-27 13:1 14:26 15:22-23، 30 15:35 18:22، راجع: غل ٢:​١١ __2. في بيسيدية : راجع: أع ١٣:​١٤ 14: 19، 21، راجع: ٢تي ٣:​١١ .
G0491 	Ἀντιοχεύς	Antiochian	أَنْطَاكِيًّا	Ἀντιοχεύς , -έως, ὁ مواطن أنطاكي، أنطاكي : راجع: أع ٦:​٥.
G0493 	Ἀντίπας	Antipas	أَنْتِيبَاس	Ἀντίπας (T, Ἀντείπας), -α (في بعض المخطوطات. يبدو أنه غير محدد؛ ولكن انظر M، راجع: أم ١٢:​١-28؛ وهو مختصر من Ἀντίπατρος)، ὁ، أنتيباس : راجع: Rev .2:13.
G0494 	Ἀντιπατρίς	Antipatris	أَنْتِيبَاتْرِيس	Ἀντιπατρίς , -ίδος, ἡ أنتيباتريس, رهان. يافا وقيصرية: راجع: أع ٢٣:​٣١.
G0559 	Ἀπελλῆς	Apelles	أَبَلِّس	Ἀπεῆς , -οῦ, حالة النصب -ῆν (مم، انظر الكلمة)، ὁ Apelles : راجع: رو ١٦:​١٠.
G0623 	Ἀπολλύων	Apollyon	أَبُولِّيُّون	Ἀποντος, ὁ (ptcp. of ἀπονύων الحالي)، أبوليون، أي المدمر: راجع: رؤ ٩:​١١ (راجع Ἀβάδδων). (كريمر، 453؛ دي بي، ط، 125، 172.)
G0624 	Ἀπολλωνία	Apollonia	أَبُولُونِيَّة	Ἀπονία , -ας, ἡ أبولونيا، مدينة مقدونيا: راجع: أع ١٧:​١.
G0625 	Ἀπολλῶς	Apollos	أَبُلُّوس	Ἀπονικώς , -ώ, ὁ (perh. contr. from Ἀπονικώνιος, راجع: أع ١٨:​٢٤ د) أبولوس : راجع: أع ١٨:​٢٤ 19:1 , راجع: ١كو ١:​١٢ ٣:​٤-6 3: 22 4:6 16:12، راجع: تي ٣:​١٣ .
G0675 	Ἄππιος	 of Appius	أَبِّيُوس	Ἀππιος , -ου, ὁ Appius ; Ἀππίου Φόρον، Appii Forum (سوق أبيوس)، بلدة في إيطاليا: راجع: أع ٢٨:​١٥.
G0682 	Ἀπφία	Apphia	أَبْفِيَّة	Ἀπφία , -ας, ἡ Apphia : Phm 2 (MM، انظر الكلمة).
G0688 	Ἀραβία	Arabia	الْعَرَبِيَّة	شبه الجزيرة العربية، (هيردوتوس هيستوريكوس)، شعر Ἀρραβία، (ثيوقريطوس بويتا بوكوليكوس) (ML)
G0689 	Ἀράμ	Ram	أَرَام	Ἀράμ indec. (بالعبرية: ἐẫ)، آرام: راجع: مت ١:​٣-4، راجع: لو ٣:​٣٣ (ر، نص، وه، Ἀρνεί).
G0690 	Ἄραψ	Arabian	عَرَب	Ἄραψ , -αβος, ὁ عربي : راجع: أع ٢:​١١.
G0698 	Ἀρεοπαγίτης	Areopagite	الأَرِيُوبَاغِيّ	Ἀρεοπαγίτης (T, -είτης), -ου, ὁ (انظر أعلاه)، قاضي محكمة أريوباغوس: راجع: أع ١٧:​٣٤.
G0702 	Ἀρέτας	Aretas	الْحَارِث	Ἀρέτας (WH, Ἀρ.; Intr. , 313), -α, ὁ, Aretas، ملك عربي: راجع: ٢كو ١١:​٣٢ (Deiss., BS, 183 f.، يعتقد أن التهجئة الصحيحة Ἀρέθας تم تغييرها، كما يقترح شورير، من خلال الرغبة في جعل اسم الهيلينية اسمًا بربريًا عن طريق استيعاب ἀρετή).
G0707 	Ἀριμαθαία	Arimathea	الرَّامَة	Ἁριμαθεία (WH، Ἁρ.)، -ας، ἡ [في الترجمة السبعينية: Ἁριμαθάιμ، راجع: ١صم ١:​١، آل. (ر ى: 43) ;] الرامة : راجع: مت ٢٧:​٥٧ , راجع: مر ١٥:​٤٣ , راجع: لو ٢٣:​٥١ , راجع: يو ١٩:​٣٨ .
G0708 	Ἀρίσταρχος	Aristarchus	أَرِسْتَرْخُس	Ἀρίσταρχος , -ου, ὁ (ἄριστος, ἀρχός; أي أفضل حكم) أرسطرخس : راجع: أع ١٩:​٢٩ ٢٠:​٤ ٢٧:​٢ , راجع: كو ٤:​١٠ , Phm 24
G0711 	Ἀριστόβουλος	Aristobulus	أَرِسْتُوبُولُوس	Ἀριστόβουлος , -ου, ὁ (ἄριστος, βουлή, أي أفضل الاستشارة) أرستوبولوس، مسيحي: راجع: رو ١٦:​١٠.
G0717 	Ἀρμαγεδδών	Armageddon	هَرْمَجَدُّون	Ἁρμαγεδών (WH، Ἃρ Μαγεδών، Rec. Ἀρμαγεδδών، الدعامة. = мρ म الاحتياط)، راجع. الترجمة السبعينية, Μαγεδών, راجع: ٢أخ ٣٥:​٢٢ , Μαγεδώ, راجع: قض ١:​٢٧; هرمجدون (AV، هرمجدون): راجع: رؤ ١٦:​١٦ (انظر سويتي، في l، ولكن أيضًا ثاير، انظر الكلمة).† Ἅρ، ، راجع: رؤ ١٦:​١٦، انظر، Ἁρμαγεδών Μαγεδών، مجدون : راجع: رؤ ١٦:​١٦ (WH، Ἅρ M. لـ Ἁρμαγεδών، التي ترى).
G0734 	Ἀρτεμάς	Artemas	أَرْتِيمَاس	Ἀρτεμᾶς , -ᾶ, ὁ أرتيماس : راجع: تي ٣:​١٢.
G0735 	Ἄρτεμις	Artemis	أَرْطَامِيس	Ἄρτεμις , -ιδος, ἡ أرتميس، إلهة آسيوية، تتباعد. من حارس مرمى. إلهة بنفس الاسم: راجع: أع ١٩:​٢٤، 27-28
G0742 	Ἀρφαξάδ	Arphaxad	أَرْفَكْشَاد	Ἀρφαξάδ , ὁ(بالعبرية: Ἀρ갤, Ἀρφαξάδ), أرفكشاد : راجع: لو ٣:​٣٦.
